STATEA,COUNTYA,AJWME001,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021
6,5,37829,12863,11380,10372,1008,749,220,31,0,8,21,13,0,8,0,0,0,0,87,295,102,978
6,7,227075,92011,79124,69273,9851,7079,1930,472,194,176,1083,972,14,75,22,0,186,383,2273,3079,554,5329
6,9,45235,16701,14464,12624,1840,1515,191,78,37,19,189,189,0,0,0,0,13,8,23,294,82,1628
6,11,21464,9403,8627,7236,1391,958,330,56,47,0,34,34,0,0,0,0,0,0,23,219,94,406
6,13,1133247,532887,422413,360219,62194,43660,12244,4001,1520,769,56287,9320,592,42250,3987,138,558,1383,2451,8984,5733,35078
6,15,27424,8474,7484,6252,1232,926,226,22,58,0,68,68,0,0,0,0,0,16,68,397,14,427
6,17,186661,81390,69326,62437,6889,5431,838,368,107,145,1385,1230,26,30,79,20,167,221,518,1516,484,7773
6,19,978130,387400,350582,303972,46610,30544,7773,4181,2125,1987,4609,4439,16,75,40,39,130,928,2395,6516,5628,16612
6,21,27897,10711,9440,8200,1240,947,230,46,17,0,45,45,0,0,0,0,0,0,64,544,87,531
6,23,135768,58275,47598,42079,5519,4331,867,162,133,26,1185,1065,51,69,0,0,0,355,987,3864,313,3973
6,25,180216,59142,53258,48052,5206,3424,852,355,294,281,493,493,0,0,0,0,135,96,200,1213,814,2933
6,27,18085,7901,6476,5474,1002,544,99,277,68,14,73,73,0,0,0,0,0,11,418,549,53,321
6,29,883053,333091,306991,265745,41246,26338,7723,4191,1995,999,2753,2586,60,12,40,55,103,877,1299,3712,6025,11331
6,31,150075,55612,50443,42478,7965,4139,1185,737,488,1416,150,140,0,0,10,0,0,272,387,1068,455,2837
6,33,64148,22611,18528,15982,2546,1878,224,335,41,68,148,148,0,0,0,0,0,40,4,777,90,3024
6,35,31185,8478,7679,6881,798,501,97,81,65,54,31,27,0,0,4,0,0,0,10,255,23,480
6,37,10098052,4749180,3963851,3511343,452508,346088,63271,22625,11408,9116,286686,243457,2745,27560,12410,514,8266,12480,39529,129024,53106,256238
6,39,155013,53980,49239,41435,7804,5011,1196,682,479,436,245,219,10,16,0,0,0,106,163,979,1424,1824
6,41,260295,128692,94268,84031,10237,7431,1992,479,195,140,12241,7482,13,108,64,4574,22,214,1896,4489,648,14914
6,43,17540,6777,5045,4243,802,518,226,48,10,0,135,135,0,0,0,0,0,5,112,724,90,666
6,45,87422,36532,30938,26908,4030,2938,490,152,226,224,90,90,0,0,0,0,0,56,286,2049,146,2967
6,47,269075,98647,88399,78036,10363,6795,1784,816,706,262,1140,1017,25,45,53,0,13,167,434,2016,3425,3053
6,49,8938,2998,2301,2080,221,142,79,0,0,0,0,0,0,0,0,0,0,0,13,167,17,500
6,51,14174,8235,4800,3993,807,524,188,14,59,22,1560,1513,47,0,0,0,0,0,537,604,78,656
6,53,433212,187205,152625,133202,19423,14185,3289,1136,636,177,3060,2955,0,20,85,0,94,315,1265,5790,15848,8208
6,55,140530,69074,59762,52501,7261,4863,1302,609,392,95,1164,761,0,54,6,343,17,59,692,2761,685,3934
6,57,99092,42329,34466,30845,3621,2887,506,22,151,55,350,345,0,0,5,0,22,117,336,1308,681,5049
6,59,3164182,1546371,1366613,1216333,150280,115710,19458,8430,4367,2315,31296,25620,177,1056,4353,90,1268,4601,11187,28668,11836,90902
6,61,380077,170441,148042,135558,12484,9361,1621,900,444,158,1988,1584,16,111,267,10,89,525,611,2388,1199,15599
6,63,18699,7277,6362,5556,806,598,184,24,0,0,38,38,0,0,0,0,0,41,106,312,30,388
6,65,2383286,984230,889302,766093,123209,90338,17584,7917,4141,3229,12792,8499,107,331,3814,41,285,3816,2831,14838,9886,50480
6,67,1510023,671083,587410,519425,67985,50884,9852,4323,1879,1047,17270,11097,1955,1957,2228,33,530,2036,6617,12025,5960,39235
6,69,59416,27547,25496,21956,3540,2737,607,70,97,29,161,67,0,0,94,0,0,149,74,446,212,1009
6,71,2135413,881534,800841,699379,101462,73730,15283,5838,3704,2907,13197,9047,170,774,3162,44,306,2307,2335,14426,5547,42575
6,73,3302833,1603486,1361907,1223159,138748,108414,18581,6823,3102,1828,46506,39684,2489,387,3769,177,1427,9021,10494,46313,15857,111961
6,75,870044,504358,202814,166153,36661,26160,6226,2343,942,990,172593,110128,10932,43497,7740,296,6355,4591,20298,57704,6919,33084
6,77,732212,295859,271530,231226,40304,27359,7246,3038,1597,1064,4485,1990,150,484,1861,0,104,684,1378,4341,1775,11562
6,79,281455,128339,108652,94929,13723,10056,1753,895,444,575,1577,1542,0,0,21,14,80,481,2778,5556,573,8642
6,81,765935,401339,315367,274125,41242,30233,6326,3109,1186,388,42791,13718,418,18300,10343,12,630,1166,6124,10360,4472,20429
6,83,443738,207593,169719,141008,28711,20045,4667,3020,699,280,6406,6249,32,15,100,10,199,883,6860,9330,1208,12988
6,85,1922200,955422,817073,716695,100378,77315,13467,5422,3042,1132,41240,23597,1355,2404,13870,14,1940,3553,17073,19542,6929,48072
6,87,273765,131355,102267,90595,11672,8757,1881,570,338,126,3834,3723,11,37,63,0,104,675,4710,6172,3423,10170
6,89,179085,70789,63431,57913,5518,4183,839,324,124,48,483,454,22,7,0,0,58,215,495,1573,595,3939
6,91,2930,1168,878,758,120,36,76,0,0,8,4,4,0,0,0,0,0,0,3,35,0,248
6,93,43540,16309,13607,12169,1438,1144,180,75,24,15,75,74,0,1,0,0,3,11,148,833,85,1547
6,95,438530,200623,180559,153480,27079,17395,5558,1923,1247,956,6004,2796,37,1340,558,1273,148,744,683,2461,1166,8858
6,97,501317,247521,212635,184995,27640,20378,4134,1806,806,516,4553,4121,37,127,216,52,223,925,2443,7552,1556,17634
6,99,539301,215593,197292,175847,21445,15110,3826,1102,861,546,1789,1516,31,116,81,45,179,397,788,2896,1847,10405
6,101,95872,38011,34606,30141,4465,2665,830,487,386,97,338,319,0,0,19,0,26,87,183,600,316,1855
